,gen,nevals,avg,std,min,max
0,0,1000,4781434.215904165,1138651.8432396827,-141232.10294117598,8209102.323529412
1,1,280,5652962.845767392,830775.9533304209,2264728.6909222775,8209102.323529412
2,2,286,6250542.27102483,701463.0783083057,1989723.5452677384,8209102.323529412
3,3,284,6713157.924250157,791526.3378750345,2200241.775736331,8209102.323529412
4,4,310,7115176.722992522,799920.1868178255,2732205.316088481,8606812.05882353
5,5,277,7427145.567789814,806211.5208699044,2701448.4376485758,8847406.147058824
6,6,255,7728035.317870801,785397.3465820065,2980443.6576816146,9087182.264705881
7,7,286,7949838.9678770965,807340.2751994694,2786678.669648253,9087182.264705881
8,8,279,8163166.678544085,833466.1882517084,3353904.4555783872,9233296.602941178
9,9,259,8435284.662098143,727175.7851417488,3860180.851686208,9455771.352941176
10,10,290,8656913.97090784,704594.0256902642,4173838.9761875984,9699567.338235294
11,11,287,8802306.543857083,776652.9900427652,4259173.208912526,9780564.338235294
12,12,262,8968060.039076041,729621.6867045626,4293017.810709538,9780564.338235294
13,13,293,9094466.239141174,730993.6302859891,4892258.0934364805,9842121.661764706
14,14,263,9210021.502063628,804591.4746927324,4656155.444780208,10036224.0
15,15,302,9341163.363173164,837584.7477355518,4343787.568556348,10188288.0
16,16,274,9495579.336243419,747416.4090999229,5267699.316813732,10188288.0
17,17,276,9565305.356737487,805504.8208485572,4493026.051976308,10188288.0
18,18,261,9683985.1027313,694972.9008973278,5509610.367017204,10222497.352941176
19,19,260,9740407.91531481,760972.8413884526,5817676.008461259,10281044.573529413
20,20,265,9833750.001123862,762455.0978058535,5103428.946694065,10335799.338235294
21,21,294,9901669.294629384,774434.7420521685,5130374.098432653,10335799.338235294
22,22,261,9962729.453124845,740606.817079124,6136100.091381603,10465588.19117647
23,23,263,10021124.596914168,706146.3314321982,6393516.580522986,10470498.897058824
24,24,286,10028740.669568164,778348.486278121,6481655.418348845,10495557.794117646
25,25,291,10081838.865812134,767492.5136804228,5900191.004875297,10550214.11764706
26,26,283,10125836.834460793,774976.8656989892,5848995.4895443,10550214.11764706
27,27,294,10145480.60234204,789604.7067541895,6159553.224223377,10663197.794117648
28,28,280,10219965.291002838,722059.7011058724,6801264.619525365,10713097.029411765
29,29,313,10209985.435519144,838584.278343415,5465527.278214271,10713097.029411765
30,30,291,10287705.951839497,741968.8659717608,5713350.705427294,10750147.044117648
31,31,273,10317175.820186295,761038.0731092306,6175605.05765744,10750147.044117648
32,32,289,10319644.655349882,816201.1403275365,5918603.915467988,10750147.044117648
33,33,305,10347698.133473441,836204.1138633877,6103615.381925138,10774708.455882354
34,34,285,10429551.28911272,759796.6460571737,6590768.011442847,10774708.455882354
35,35,280,10503345.594599618,717162.2657760073,5602938.827914098,10779573.838235294
36,36,316,10525437.874961963,709829.25635419,6301206.146822998,10800026.573529413
37,37,276,10568675.553783566,635461.0294237676,6076315.175148073,10800026.573529413
38,38,291,10590592.898511318,625874.784488294,6608814.38833152,10800026.573529413
39,39,278,10662940.043372387,478847.5588230134,7128395.836012732,10802222.794117648
40,40,269,10662412.780110674,504238.0704346609,6543047.928361337,10841185.264705883
41,41,275,10665943.151696216,515112.06630951783,7368324.511060076,10841185.264705883
42,42,273,10631567.711054113,608560.5779244242,6502519.404971997,10841185.264705883
43,43,280,10634549.727555908,632551.2078344632,6777238.899875096,10852858.044117648
44,44,290,10678515.263384435,563318.2018684853,6142769.525806841,10852858.044117648
45,45,292,10668102.327000687,602833.3010800582,6150397.288085741,10852858.044117648
46,46,275,10745672.043995254,421291.64321148687,7548762.154115799,10852858.044117648
47,47,287,10777595.161856342,350298.6304561657,6711202.820016923,10852858.044117648
48,48,294,10771745.279248634,341971.6975518091,7183315.945847939,10852858.044117648
49,49,259,10781438.14907224,313614.11319835304,7344854.460050768,10852858.044117648
50,50,287,10753251.20699309,463343.79839313874,5939892.991659616,10852858.044117648
51,51,286,10788499.789070088,315709.9330129978,7464217.721302228,10852858.044117648
52,52,254,10819596.776941177,154102.2203539445,9091030.970588235,10852858.044117648
53,53,281,10815827.775691178,170468.31423213496,8957228.029411765,10852858.044117648
54,54,287,10807534.546235295,207094.32126050215,8851875.455882354,10858864.397058824
55,55,283,10807256.809798505,229394.5994835359,7840290.950723236,10858864.397058824
56,56,269,10810580.727092626,227488.1308001152,7840290.950723236,10858864.397058824
57,57,261,10814069.935117649,185972.04453305603,8459202.25,10865284.573529413
58,58,264,10811843.092813212,214068.66204722686,7840290.950723236,10865284.573529413
59,59,292,10798313.04173891,300390.9514481554,7840290.950723236,10865284.573529413
60,60,287,10759638.031223683,433549.2825491067,7328371.680043515,11027453.0
