alpha,beta,rho,runs,media,melhor
0.5,1.0,0.25,10,152900.1,152647.0
0.5,1.0,0.5,10,152773.9,152443.0
0.5,1.0,1.0,10,151817.6,151523.0
0.5,1.5,0.25,10,152990.8,152714.0
0.5,1.5,0.5,10,152612.7,151897.0
0.5,1.5,1.0,10,151744.3,151640.0
0.5,2.0,0.25,10,152866.0,152615.0
0.5,2.0,0.5,10,152577.8,152368.0
0.5,2.0,1.0,10,151626.4,151451.0
0.5,3.0,0.25,10,152726.3,152386.0
0.5,3.0,0.5,10,152287.3,152042.0
0.5,3.0,1.0,10,151330.2,151011.0
1.0,1.0,0.25,10,152751.1,152395.0
1.0,1.0,0.5,10,151886.9,151693.0
1.0,1.0,1.0,10,150498.3,150204.0
1.0,1.5,0.25,10,152793.9,152609.0
1.0,1.5,0.5,10,151774.3,151488.0
1.0,1.5,1.0,10,150505.7,150308.0
1.0,2.0,0.25,10,152567.5,152139.0
1.0,2.0,0.5,10,151696.1,151093.0
1.0,2.0,1.0,10,150655.9,150402.0
1.0,3.0,0.25,10,152274.9,151941.0
1.0,3.0,0.5,10,151314.4,151043.0
1.0,3.0,1.0,10,150556.4,150376.0
1.5,1.0,0.25,10,152477.0,152214.0
1.5,1.0,0.5,10,151260.0,150909.0
1.5,1.0,1.0,10,150437.4,150246.0
1.5,1.5,0.25,10,152226.1,151889.0
1.5,1.5,0.5,10,151273.7,150996.0
1.5,1.5,1.0,10,150780.2,150240.0
1.5,2.0,0.25,10,152443.6,151850.0
1.5,2.0,0.5,10,151188.1,150982.0
1.5,2.0,1.0,10,150622.3,150420.0
1.5,3.0,0.25,10,152478.8,152092.0
1.5,3.0,0.5,10,151270.9,150794.0
1.5,3.0,1.0,10,150675.7,150420.0
2.0,1.0,0.25,10,152179.9,151789.0
